Organisation,Street,Suburb/Town,Postcode,Website
Sidney Myer Music Bowl,Kings Domain Gardens,Southbank,3006,http://www.theartscentre.com.au/discover/venues/sidney-myer-music-bowl.aspx
Southbank Cultural Precinct,St Kilda Road,Southbank,3006,http://www.visitsouthbank.com.au/
The State Library of Victoria,328 Swanston Street,Melbourne,3000,http://www.slv.vic.gov.au
Melbourne Writers Festival,Level 1/176 Little Lonsdale Street,Melbourne,3000,http://www.mwf.com.au/
Express Media,Level 1/176 Little Lonsdale Street,Melbourne,3000,http://www.expressmedia.org.au/
Australian Poetry Centre,Level 1/176 Little Lonsdale Street,Melbourne,3000,http://www.australianpoetrycentre.org.au/
Emerging Writers Festival,Level 1/176 Little Lonsdale Street,Melbourne,3000,http://www.emergingwritersfestival.org.au/
RMIT Gallery,344 Swanston Street,Melbourne,3000,http://www.rmit.edu.au/rmitgallery
Maldon Museum,"Old Shire Hall, Maldon Gardens, High Street",Maldon,3463,http://sites.google.com/site/maldonauhistory/Home
Castlemaine Festival,Castlemaine Town,Castlemaine,3450,http://www.castlemainefestival.com.au/
Castlemaine Gallery,14 Lyttleton Street,Castlemaine,3450,http://www.castlemainegallery.com/
Clunes Booktown,Town,Clunes,3370,http://www.clunes.org/booktown/
Clunes Museum,36 Fraser Street,Clunes,3370,http://www.ballarat.com/clunes/
Gold Museum,"Bradshaw St, Golden Point ",Ballarat,3350,http://www.sovereignhill.com.au/?id=gmuseum
Soverieign Hill,32 Lydiard St,Ballarat,3350,http://www.sovereignhill.com.au/
Art Gallery of Ballarat,40 Lydiard St,Ballarat,3350,http://www.balgal.com/
Bendigo Art Gallery,42 View St,Bendigo,3550,http://www.bendigoartgallery.com.au/
Golden Dragon Museum,5 - 11 Bridge Street,Bendigo,3552,http://www.goldendragonmuseum.org/
Arts House,521 Queensberry Street,North Melbourne,3051,http://www.melbourne.vic.gov.au/artshouse/Pages/Default.aspx
Melbourne Fringe Festival,"Level 2, 225 Bourke St Melbourne",,3000,http://www.melbournefringe.com.au/
Melbourne International Arts Festival,Visitors Information Centre,Federation Square,3000,http://www.melbournefestival.com.au/
Spring Fling,58 Errol Street,North Melbourne,3051,http://www.centre.org.au/springfling09/
Club Wild,521 Queensberry Street,North Melbourne,3051,http://www.clubwild.net/HOME.html
Heide Museum of Modern Art,7 Templestowe Road,Buleen,3105,http://www.heide.com.au
Melbourne Museum,11 Nicholson St,Carlton ,3053,http://museumvictoria.com.au/melbournemuseum/
Geelong Tourism,Level 1 - 48 Brougham St,Geelong,3220,http://www.geelongotway.org/
Royal Historical Society of Victoria,239 A'Beckett Street,Melbourne,3000,http://www.historyvictoria.org.au
Platform Artists Group Inc,Degraves Street Subway,Melbourne,3000,http://platformartistsgroup.blogspot.com/
Craft Victoria,31 Flinders Lane,Melbourne,3000,http://www.craftvic.asn.au/
Blindside Gallery,"Level 7, Room 14, Nicholas Building, 37 Swanston St",Melbourne,3000,http://www.blindside.org.au/
West Space Inc,"Level 1, 15 - 19 Anthony Street",Melbourne,3000,http://www.westspace.org.au/
Bus Gallery,"Level 1, 117 Little Lonsdale Street",Melbourne,3000,http://www.busprojects.com.au/
Loop Gallery,Loop 23 Meyers Place,Melbourne,3000,http://www.looponline.com.au/
TCB Gallery,Level 1/12 Waratah Place,Melbourne,3000,http://www.tcbartinc.org.au/index.php
69 Smith Street Gallery,69 Smith Street,Fitzroy,3066,http://www.69smithstreet.com.au/
Conical Gallery,"Upstairs, 3 Rochester St",Fitzroy,3065,http://www.conical.org.au/
Hell Gallery,5a Railway Place,Richmond,3121,http://www.hellgallery.blogspot.com/
Off the Kerb Gallery and Studio,66B Johnston St,Collingwood,3066,http://www.offthekerb.com.au/
Yarra Sculpture Space,117 Vere Street,Abbotsford,3067,http://www.yarrasculpturespace.com.au/
c3 Art Space,1 St Heliers St,Abbotsford,3067,http://www.c3artspace.blogspot.com/
Cowwarr Art Space,2730 Traralgon/Maffra Rd.,Cowwarr,3857,http://www.cowwarr.com/
Gallery Arc,Main St,Yinnar,3869,http://www.arcyinnar.org.au/
Allans Walk,Shops 5 & 7 Allan's Walk,Bendigo,3550,http://www.allanswalk.com/
